src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:80d::200a,QUIC,43693,443,5584,14,0.4716761112213135,0.03628277778625488,0.0875478780700859,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:80d::200a,TCP,35250,443,1212,14,161.50268697738647,12.423283613645113,23.818239050564518,0
2800:3f0:4001:80d::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,43693,14777,18,0.4538760185241699,0.026698589324951172,0.07772645654050252,0
2800:3f0:4001:80d::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,35250,8546,15,161.4829978942871,11.534499849591937,30.60461068330356,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:80d::200a,TLS,35250,443,1697,8,161.41911005973816,23.05987286567688,29.119439414520613,0
2800:3f0:4001:80d::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,35250,3650,6,117.0752899646759,23.415057992935182,32.053648521815695,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:816::200a,QUIC,54828,443,2697,11,0.13177108764648438,0.013177108764648438,0.016242483363233962,0
2800:3f0:4001:816::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,54828,13212,15,0.1117088794708252,0.007979205676487513,0.015091086585998302,0
192.168.15.2,192.168.15.1,DNS,44027,53,182,2,4.0531158447265625e-06,4.0531158447265625e-06,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:80e::200a,TLS,43558,443,14274,30,92.05160212516785,3.1741931767299256,9.708118705325024,0
192.168.15.1,192.168.15.2,DNS,53,44027,226,2,0.0002720355987548828,0.0002720355987548828,,0
2800:3f0:4001:80e::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,43558,2580,30,92.04914617538452,3.174108488806363,9.70818784634093,0
192.168.15.2,192.168.15.1,DNS,38193,53,158,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.2,192.168.15.1,DNS,42381,53,158,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,38193,256,2,0.0002770423889160156,0.0002770423889160156,,0
192.168.15.1,192.168.15.2,DNS,53,42381,256,2,0.00027680397033691406,0.00027680397033691406,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:800::2005,TCP,39166,443,1642,19,159.34270596504211,8.852372553613451,20.460918218220232,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:800::2005,TCP,39174,443,1126,13,159.34341096878052,13.27861758073171,24.285474873231248,0
